series,n,n_pos,zero_share,median_gap_s,mean_gap_s,hill_frac10,hill_frac10_se,hill_frac10_k,hill_plateau,hill_plateau_se,hill_plateau_k,rm_ratio,csn_alpha,csn_xmin,csn_n_tail,csn_p,csn_n_used,symbol,qvol_24h,n_agg,n_fills_total,fills_per_order,diurnal_range
fill,540312,139721,0.7414068168021439,0.34599995613098145,0.1599062948814053,1.310406476409334,0.005637473690531648,54031,0.2410100384892544,0.0006678048985796978,130248,1.0458876964153294,3.337454607458736,2.171999931335449,1002.0,0.0,20000.0,BTCUSDT,469369948.7726923,185782,540313,2.9083172750858535,
order,185781,139721,0.24792632185207314,0.34599995613098145,0.4650598823343714,2.2681706996215767,0.016640878765496265,18578,1.191333132187138,0.004838861206446268,60615,1.14225718750492,2.6952851752180798,1.7220001220703125,1622.0,0.0,20000.0,BTCUSDT,469369948.7726923,185782,540313,2.9083172750858535,
W0.1,107964,107964,0.0,0.5329999923706055,0.800260179318679,2.7982563161670906,0.02693122168182092,10796,1.9167612828260234,0.011417589326836624,28183,0.9760375122705083,,,,,,BTCUSDT,469369948.7726923,185782,540313,2.9083172750858535,
W1,49154,49154,0.0,1.4789998531341553,1.7577155877465407,3.838709409913815,0.054754961282963706,4915,3.0929290691589104,0.027618740938653533,12541,0.9817197474807184,,,,,,BTCUSDT,469369948.7726923,185782,540313,2.9083172750858535,
W5,14950,14950,0.0,5.493000030517578,5.7790564548530705,8.047670398372423,0.20813714098823327,1495,7.454124484448922,0.10672735418983181,4878,0.9927783177066787,,,,,,BTCUSDT,469369948.7726923,185782,540313,2.9083172750858535,
W30,2811,2811,0.0,30.466000080108643,30.731014941265386,39.93280062048721,2.382191166194991,281,38.738353347017394,1.3544547617984157,818,0.9999098497339618,,,,,,BTCUSDT,469369948.7726923,185782,540313,2.9083172750858535,
deseas,185781,139721,0.24792632185207314,0.3683124295612637,0.48219503498290617,2.280861458397956,0.016733987003899626,18578,1.1999827601917796,0.004873993570577711,60615,1.005563898557109,2.809079368475807,1.8047625519876707,1621.0,0.0,20000.0,BTCUSDT,469369948.7726923,185782,540313,2.9083172750858535,2.253787978803626
fill,409629,78265,0.8089368672628159,0.4960000514984131,0.2109141222908763,0.8306563233949599,0.004104171476549618,40963,0.20400320651810372,0.0007552670421186186,72958,1.0252875687696965,3.0171129043570337,4.264999878406525,1000.0,0.0,20000.0,ETHUSDT,200616691.372441,107773,409630,3.800859213346571,
order,107772,78265,0.27379096611364734,0.4960000514984131,0.8016603663278902,2.008512869966933,0.019347536626176328,10777,1.1153421639108112,0.006366630950336248,30690,1.0168527634112736,3.0964517595311563,4.33110008239746,1000.0,0.0,20000.0,ETHUSDT,200616691.372441,107773,409630,3.800859213346571,
W0.1,59203,59203,0.0,0.8659999370574951,1.4593270780178265,2.568403883954751,0.03338123995497162,5920,1.695214837889967,0.013336164478330621,16158,0.970811793260405,,,,,,ETHUSDT,200616691.372441,107773,409630,3.800859213346571,
