series,n,n_pos,zero_share,median_gap_s,mean_gap_s,hill_frac10,hill_frac10_se,hill_frac10_k,hill_plateau,hill_plateau_se,hill_plateau_k,rm_ratio,csn_alpha,csn_xmin,csn_n_tail,csn_p,symbol,n_ticks,tie_share,diurnal_range
print,2839,2271,0.20007044734061288,2.0,2.847129270870025,2.2109186313671527,0.13119388397327972,284,1.4508270847081643,0.049472792966070864,860,2.517649460607471,3.427414981994666,11.0,132.0,0.043333333333333335,SSI,2840,0.20007044734061288,
second,2271,2271,0.0,2.0,3.5592250110083663,2.4425925481370565,0.16212056149389412,227,1.737388984146706,0.0675765994714035,661,2.0121996078720907,3.427414981994666,11.0,132.0,0.06,SSI,2840,0.20007044734061288,
W2,1683,1683,0.0,3.0,4.802139037433155,3.1437127963149423,0.24254270789504553,168,1.8189928671980329,0.08208999893090019,491,1.6843768165930195,,,,,SSI,2840,0.20007044734061288,
W5,1005,1005,0.0,7.0,8.041791044776119,3.4427681574850486,0.3442768157485049,100,2.535849058788242,0.14131734308424024,322,1.3432438793912103,,,,,SSI,2840,0.20007044734061288,
W30,241,241,0.0,32.0,33.47302904564315,11.926100751129642,2.4344051217742346,24,7.608141772395921,0.9436738454561981,65,1.0704361529942925,,,,,SSI,2840,0.20007044734061288,
deseas,2271,2271,0.0,2.683473316615773,4.106309556273255,3.1067510898715414,0.20620231216863616,227,2.110998142496325,0.08849764582992731,569,1.0133330653221178,3.9958263665459626,11.678875288355224,115.0,0.03666666666666667,SSI,2840,0.20007044734061288,4.200759299875284
print,977,909,0.06960081883316274,6.0,8.264073694984647,3.2775919138102174,0.33108678117391416,98,1.8450276498151787,0.11249332121575323,269,0.6606193527521174,3.135634140153688,19.0,110.0,0.0033333333333333335,VPB,978,0.06960081883316274,
second,909,909,0.0,6.0,8.882288228822881,3.0434782056809166,0.31904320539089365,91,1.9746087200750133,0.12589645373316324,246,0.6934771851955792,3.135634140153688,19.0,110.0,0.006666666666666667,VPB,978,0.06960081883316274,
W2,807,807,0.0,7.0,10.004956629491945,3.125346761561146,0.3472607512845718,81,1.937917864023997,0.12159578136627974,254,0.6929594858835233,,,,,VPB,978,0.06960081883316274,
W5,614,614,0.0,10.0,13.149837133550488,3.7438928204674693,0.4793563555358247,61,2.593779514665702,0.20969464526529416,153,0.7624972713381358,,,,,VPB,978,0.06960081883316274,
W30,211,211,0.0,36.0,38.203791469194314,4.909239027470023,1.0712837832387034,21,4.953686785168953,1.0329150974317787,23,0.9174881318854796,,,,,VPB,978,0.06960081883316274,
deseas,909,909,0.0,6.9968618446066655,9.354586770368131,3.6755695353907134,0.3853043810267111,91,2.0503010688558883,0.12341362162844026,276,1.0196565673659874,3.4217001946804717,18.622201384520434,130.0,0.023333333333333334,VPB,978,0.06960081883316274,2.08580471941195
print,2008,1760,0.12350597609561753,3.0,4.027390438247012,2.8708415272892593,0.20249354850982815,201,1.4427318910932796,0.056372199709772364,655,1.3862496311596342,2.103357858886962,6.0,486.0,0.0,HPG,2009,0.12350597609561753,
second,1760,1760,0.0,3.0,4.5948863636363635,2.513771685586615,0.18948267022068288,176,1.7330513496401594,0.07363029636229886,554,1.3231829933927033,2.103357858886962,6.0,486.0,0.0,HPG,2009,0.12350597609561753,
W2,1400,1400,0.0,4.0,5.776428571428571,3.2795894887916397,0.2771759010215175,140,1.8971785139902164,0.08884352391204395,456,1.2476375764313508,,,,,HPG,2009,0.12350597609561753,
W5,903,903,0.0,7.0,8.955703211517164,3.9146960200136323,0.41264519234797253,90,2.715614629246743,0.17384941211444055,244,1.1585215117801548,,,,,HPG,2009,0.12350597609561753,
W30,236,236,0.0,33.0,34.266949152542374,8.818286543753509,1.8000252031539288,24,7.357420158065266,0.8793799063813182,70,1.052017254503933,,,,,HPG,2009,0.12350597609561753,
deseas,1760,1760,0.0,3.2518323553971467,4.850511617299647,3.0906785112877078,0.2329686583989894,176,1.9316464573589627,0.08881719873525903,473,1.0143420809513108,2.7921675919402125,9.285824806569357,254.0,0.0,HPG,2009,0.12350597609561753,2.6876380975628433
print,657,579,0.1187214611872146,8.0,12.269406392694064,3.24168643658068,0.39902401676619603,66,1.946459666046474,0.15584149639004416,156,0.8192582331502829,1.8166971277888642,16.0,197.0,0.0,STB,658,0.1187214611872146,
second,579,579,0.0,8.0,13.922279792746114,3.9298872427755924,0.5160194753897935,58,1.946459666046474,0.1538811479589392,160,0.8509397771569182,1.8166971277888642,16.0,197.0,0.0,STB,658,0.1187214611872146,
W2,538,538,0.0,9.5,14.983271375464684,3.6355509409365365,0.4947358188438765,54,1.9397429546215168,0.1528731607966197,161,0.8733441784801302,,,,,STB,658,0.1187214611872146,
W5,421,421,0.0,14.0,19.147268408551067,3.605210367561313,0.5562960370327753,42,2.333952531438418,0.23697697523999006,97,0.8889452998875491,,,,,STB,658,0.1187214611872146,
W30,187,187,0.0,39.0,43.106951871657756,4.578929582528492,1.050478490517399,19,3.54227501675293,0.5112833586164977,48,0.9745488272652959,,,,,STB,658,0.1187214611872146,
deseas,579,579,0.0,9.566847645323133,15.009476328131164,2.902492395775495,0.3811159228917503,58,2.2552836127979052,0.20939782658183517,116,1.0644598812622035,2.6409766958606005,30.06739530069289,83.0,0.18333333333333332,STB,658,0.1187214611872146,2.570760887138259
print,1322,1222,0.07564296520423601,5.0,6.105143721633888,3.196239622475713,0.27819695067664835,132,1.8971390608169518,0.09138197307182543,431,1.0147279081377933,3.678300299629951,16.0,100.0,0.016666666666666666,MBB,1323,0.07564296520423601,
second,1222,1222,0.0,5.0,6.604746317512275,2.9541002571366426,0.26745167066426173,122,2.3088020597386656,0.13008625894093973,315,1.0007436787307882,3.678300299629951,16.0,100.0,0.02666666666666667,MBB,1323,0.07564296520423601,
W2,1037,1037,0.0,6.0,7.783027965284474,3.035496233505869,0.29765489477084284,104,2.243369204694793,0.12660064836891544,314,1.0273244745013879,,,,,MBB,1323,0.07564296520423601,
W5,759,759,0.0,9.0,10.63372859025033,3.742631539705692,0.42930928064434587,76,2.907741009387235,0.19342005480383853,226,1.0194243247769255,,,,,MBB,1323,0.07564296520423601,
W30,230,230,0.0,33.0,35.09130434782609,9.929580279738147,2.0704606138622843,23,7.592930479823345,0.8826602394254386,74,1.02534504391468,,,,,MBB,1323,0.07564296520423601,
deseas,1222,1222,0.0,5.075909265085233,6.722293566067705,3.3186190085567233,0.3004536477705661,122,2.411990836529615,0.13902484057660922,301,0.9805578913777794,2.916728308379909,11.660838985583927,213.0,0.013333333333333334,MBB,1323,0.07564296520423601,1.5372259338841954
print,2447,2153,0.12014711892112791,1.0,3.3011851246424193,1.9845032865875152,0.1267852642966123,245,1.1243154190495612,0.04298927449387388,684,1.5415109767197888,2.399399187659847,11.0,195.0,0.0,SHB,2448,0.12014711892112791,
second,2153,2153,0.0,1.0,3.7519739897817,2.1531041268586515,0.14684048268081165,215,1.1341778350061356,0.043177412261424956,690,1.501548946716233,2.399399187659847,11.0,195.0,0.0,SHB,2448,0.12014711892112791,
W2,1454,1454,0.0,3.0,5.555708390646492,2.5805099683033386,0.21429968858511006,145,1.380123579186131,0.06393299023171811,466,1.4870689655172415,,,,,SHB,2448,0.12014711892112791,
W5,865,865,0.0,7.0,9.338728323699423,2.94761706315185,0.31784972226143865,86,2.554610602297234,0.19040943209260985,180,1.3686073152215172,,,,,SHB,2448,0.12014711892112791,
W30,230,230,0.0,34.0,35.12173913043478,6.938494358454848,1.4467760855915317,23,7.226486221283348,0.8400619596389343,74,1.0782094160020583,,,,,SHB,2448,0.12014711892112791,
deseas,2153,2153,0.0,2.2637522897342572,4.570491990644018,2.4169000851059685,0.16483121771079762,215,1.288380636129842,0.04996125812682806,665,0.881542535281506,1.843529680025304,7.650295301549366,375.0,0.0,SHB,2448,0.12014711892112791,7.215138144540005
print,2111,1855,0.12126954050213169,3.0,3.8256750355281857,2.638754277992487,0.18165933613717544,211,1.5509246231439426,0.05912844693077123,688,1.5386861183449398,3.5352631076633476,11.0,156.0,0.0,VIX,2112,0.12126954050213169,
second,1855,1855,0.0,3.0,4.353638814016173,3.1527972141861422,0.2311743078538787,186,1.7972370245302687,0.07726925487699882,541,1.4029390848631642,3.5352631076633476,11.0,156.0,0.0,VIX,2112,0.12126954050213169,
W2,1451,1451,0.0,4.0,5.565816678152998,3.1745609075508816,0.2636329338924872,145,2.0165023960208504,0.09527078317923308,448,1.2320201125617802,,,,,VIX,2112,0.12126954050213169,
W5,938,938,0.0,7.0,8.609808102345415,3.8073202928399477,0.3926951041347373,94,2.782837024082197,0.16040005947135477,301,1.0960290682584999,,,,,VIX,2112,0.12126954050213169,
W30,240,240,0.0,32.0,33.55,11.476930206390687,2.3427185682660343,24,8.335813434059254,0.9625368260137217,75,0.9881481481481482,,,,,VIX,2112,0.12126954050213169,
deseas,1855,1855,0.0,3.362315770791044,4.758604273704115,3.116562360873409,0.2285174395031116,186,1.9907655416631567,0.0816134302866175,595,0.9938097846602272,3.6110884100401246,11.343722172772898,151.0,0.04,VIX,2112,0.12126954050213169,3.2817533743817244
print,2070,1879,0.09227053140096618,3.0,3.9067632850241547,3.1235287634289395,0.2171002566322682,207,1.9186581038764887,0.07973670965290093,579,0.7265157984628523,2.9348355941197948,7.0,416.0,0.0,TCB,2071,0.09227053140096618,
second,1879,1879,0.0,3.0,4.303885045236828,4.14007384047383,0.30194591777068547,188,1.885520658213678,0.0790451379641117,569,0.765378928516904,2.9348355941197948,7.0,416.0,0.0,TCB,2071,0.09227053140096618,
W2,1499,1499,0.0,4.0,5.394929953302201,4.573518700077147,0.3734262381422009,150,2.1528567327897523,0.10005173728492946,463,0.8390733098677025,,,,,TCB,2071,0.09227053140096618,
W5,955,955,0.0,7.0,8.465968586387435,4.150115143867871,0.4235693531780618,96,3.1300554973714996,0.17720449776358943,312,0.8899983060091632,,,,,TCB,2071,0.09227053140096618,
W30,245,245,0.0,32.0,32.95102040816327,16.330600504620815,3.3334698691298734,24,9.770009969894515,1.113395968185589,77,0.9682899545378547,,,,,TCB,2071,0.09227053140096618,
deseas,1879,1879,0.0,3.2552061587090235,4.406375926415442,3.906560277301942,0.2849151908173302,188,2.3643647314857676,0.1206559824577644,384,1.0041437549728114,4.022781595097045,10.691777501993949,157.0,0.023333333333333334,TCB,2071,0.09227053140096618,1.5994113426114591
print,810,768,0.05185185185185185,7.0,9.97283950617284,3.278062030646827,0.3642291145163141,81,2.1282744204119184,0.14548584426401592,214,0.9101442421376211,2.3020111077924743,14.0,212.0,0.0,CTG,811,0.05185185185185185,
second,768,768,0.0,7.0,10.518229166666666,3.1161824241951317,0.35512194541466924,77,2.1174158774506333,0.1454247195202636,212,0.9325358851674641,2.3020111077924743,14.0,212.0,0.0,CTG,811,0.05185185185185185,
W2,709,709,0.0,8.0,11.393511988716503,3.2809361817067555,0.3893754882154153,71,2.1062820716488893,0.14466004659835222,212,0.9300835662106182,,,,,CTG,811,0.05185185185185185,
W5,564,564,0.0,11.0,14.322695035460994,3.153929150829611,0.4214615108772599,56,2.447819442517527,0.18998763471441613,166,0.9101442421376211,,,,,CTG,811,0.05185185185185185,
W30,209,209,0.0,36.0,38.61244019138756,5.686813076994526,1.2409643518281976,21,6.312664415279498,1.098893824246801,33,0.8993809026025521,,,,,CTG,811,0.05185185185185185,
